Post,Depth
0.992,1.52
0.993,1.52
0.994,1.76
0.995,1.76
0.996,1.52
0.997,1.4
0.998,1.4
0.999,1.4
1,1.76
1.001,1.52
1.002,1.4
1.003,1.4
1.004,1.52
1.005,1.4
1.006,1.4
1.007,1.52
1.008,1.52
1.009,1.52
1.01,1.4
1.011,1.4
1.012,1.76
1.013,1.88
1.014,2.12
1.015,2.12
1.016,2.12
1.017,1.88
1.018,1.4
1.019,1.76
1.02,1.4
1.021,1.52
1.022,1.52
1.023,1.88
1.024,1.52
1.025,1.4
1.026,2.12
1.027,1.52
1.028,2.12
1.029,1.52
1.03,1.52
1.031,1.88
1.032,1.4
1.033,1.76
1.034,1.4
1.035,1.4
1.036,1.52
1.037,1.52
1.038,1.4
1.039,2.6
1.04,1.52
1.041,1.76
1.042,1.88
1.043,1.88
1.044,1.52
1.045,1.4
1.046,1.4
1.047,1.52
1.048,1.52
1.049,1.4
1.05,1.4
1.051,1.52
1.052,1.4
1.053,1.52
1.054,1.52
1.055,1.76
1.056,1.4
1.057,1.76
1.058,2.36
1.059,1.52
1.06,1.88
1.061,1.52
1.062,1.4
1.063,1.52
1.064,1.4
1.065,1.4
1.066,2.12
1.067,1.4
1.068,1.76
1.069,1.4
1.07,2.36
1.071,1.76
1.072,1.76
1.073,1.4
1.074,2.6
1.075,1.4
1.076,1.4
1.077,1.4
1.078,1.52
1.079,1.76
1.08,1.4
1.081,1.52
1.082,1.52
1.083,1.52
1.084,2.12
1.085,1.4
1.086,1.88
1.087,1.4
1.088,2.84
1.089,1.4
1.09,1.76
1.091,1.4
1.092,1.4
1.093,1.4
1.094,1.88
1.095,1.52
1.096,1.4
1.097,1.4
1.098,1.4
1.099,1.4
1.1,1.4
1.101,1.4
1.102,2.12
1.103,1.4
1.104,1.4
1.105,1.88
1.106,1.76
1.107,1.52
1.108,1.4
1.109,1.52
1.11,1.88
1.111,1.76
1.112,1.4
1.113,1.4
1.114,1.52
1.115,1.4
1.116,1.4
1.117,1.4
1.118,1.76
1.119,1.88
1.12,1.88
1.121,1.52
1.122,1.4
1.123,1.4
1.124,1.76
1.125,1.4
1.126,1.52
1.127,1.4
1.128,1.52
1.129,1.52
1.13,2.36
1.131,1.4
1.132,1.4
1.133,1.52
1.134,1.88
1.135,1.4
1.136,2.12
1.137,1.4
1.138,1.88
1.139,1.52
1.14,1.4
1.141,1.52
1.142,1.4
1.143,1.4
1.144,2.36
1.145,1.88
1.146,1.4
1.147,1.88
1.148,1.52
1.149,1.76
1.15,1.76
1.151,1.4
1.152,1.52
1.153,1.52
1.154,1.88
1.155,1.4
1.156,1.76
1.157,1.4
1.158,1.4
1.159,1.4
1.16,1.76
1.161,1.52
1.162,1.52
1.163,1.52
1.164,1.4
1.165,1.52
1.166,1.4
1.167,1.4
1.168,1.52
1.169,1.4
1.17,1.4
1.171,1.4
1.172,1.76
1.173,1.52
1.174,1.76
1.175,1.52
1.176,1.52
1.177,1.52
1.178,1.52
1.179,1.4
1.18,1.52
1.181,1.4
1.182,1.4
1.183,1.52
1.184,2.12
1.185,1.52
1.186,1.52
